,Score,Score,Score,Score,Score,Capture,Capture,Capture,Capture,Five or More,Five or More,Five or More,Five or More,Open one,Open one,Open one,Open one,Half open one,Half open one,Half open one,Half open one,Open two,Open two,Open two,Open two,Half open two,Half open two,Half open two,Half open two,Open three,Open three,Open three,Open three,Half open three,Half open three,Half open three,Half open three,open four,open four,open four,open four,four,four,four,four,Capture.1,Capture.1,Capture.1,Capture.1,Five or More.1,Five or More.1,Five or More.1,Five or More.1,Open one.1,Open one.1,Open one.1,Open one.1,Half open one.1,Half open one.1,Half open one.1,Half open one.1,Open two.1,Open two.1,Open two.1,Open two.1,Half open two.1,Half open two.1,Half open two.1,Half open two.1,Open three.1,Open three.1,Open three.1,Open three.1,Half open three.1,Half open three.1,Half open three.1,Half open three.1,open four.1,open four.1,open four.1,open four.1,four.1,four.1,four.1,four.1
,mean,min,max,std,size,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std,mean,min,max,std
Score Cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-inf to -500000,-2147483648.0,-2147483648,-2147483648,0.0,3,4.0,4,4,0.0,0.0,0,0,0.0,18.0,15,20,2.6457513110645907,14.0,10,16,3.4641016151377544,2.0,0,4,2.0,1.3333333333333333,0,4,2.3094010767585034,0.0,0,0,0.0,0.6666666666666666,0,1,0.5773502691896258,0.3333333333333333,0,1,0.5773502691896258,0.3333333333333333,0,1,0.5773502691896258,5.333333333333333,0,8,4.618802153517007,0.0,0,0,0.0,24.0,11,32,11.357816691600547,14.0,13,15,1.0,1.6666666666666667,1,2,0.5773502691896257,1.3333333333333333,1,2,0.5773502691896258,0.3333333333333333,0,1,0.5773502691896258,0.3333333333333333,0,1,0.5773502691896258,0.3333333333333333,0,1,0.5773502691896258,0.6666666666666666,0,1,0.5773502691896258
-500000 to -50000,-94029.14285714286,-98812,-87293,5604.804588582055,7,2.2857142857142856,2,4,0.7559289460184544,0.0,0,0,0.0,18.285714285714285,15,25,3.9036002917941337,12.571428571428571,10,15,1.902379462422683,1.2857142857142858,1,3,0.7559289460184545,3.2857142857142856,3,4,0.48795003647426655,0.7142857142857143,0,1,0.4879500364742666,1.4285714285714286,0,3,1.1338934190276817,0.0,0,0,0.0,1.0,1,1,0.0,1.7142857142857142,0,2,0.7559289460184545,0.7142857142857143,0,1,0.4879500364742666,18.714285714285715,9,26,5.822779568622009,18.285714285714285,14,21,2.2886885410853175,1.2857142857142858,1,2,0.48795003647426655,1.4285714285714286,0,3,0.9759000729485331,0.2857142857142857,0,1,0.4879500364742666,0.7142857142857143,0,2,0.7559289460184545,0.0,0,0,0.0,0.14285714285714285,0,1,0.37796447300922725
-50000 to -15000,-20247.0,-20247,-20247,,1,4.0,4,4,,0.0,0,0,,18.0,18,18,,14.0,14,14,,0.0,0,0,,0.0,0,0,,0.0,0,0,,1.0,1,1,,0.0,0,0,,0.0,0,0,,8.0,8,8,,0.0,0,0,,29.0,29,29,,12.0,12,12,,2.0,2,2,,1.0,1,1,,1.0,1,1,,0.0,0,0,,0.0,0,0,,0.0,0,0,
-15000 to -5000,-9150.0,-9150,-9150,,1,6.0,6,6,,0.0,0,0,,30.0,30,30,,19.0,19,19,,1.0,1,1,,0.0,0,0,,0.0,0,0,,2.0,2,2,,0.0,0,0,,0.0,0,0,,6.0,6,6,,0.0,0,0,,31.0,31,31,,20.0,20,20,,1.0,1,1,,1.0,1,1,,1.0,1,1,,0.0,0,0,,0.0,0,0,,0.0,0,0,
-5000 to 5000,280.70758122743683,-2734,3002,909.5602722300091,277,0.9386281588447654,0,8,1.7236175711343418,0.04332129963898917,0,1,0.20394785142936084,11.256317689530686,3,35,5.150911500891084,5.815884476534296,0,19,4.702608784271803,0.4981949458483754,0,3,0.7353622233563409,0.6173285198555957,0,4,0.8240867213420969,0.11552346570397112,0,2,0.3725317275539389,1.151624548736462,0,6,1.2534470861013824,0.010830324909747292,0,1,0.10369110036285308,0.021660649819494584,0,1,0.14583636975409967,0.8158844765342961,0,8,1.7729960194982672,0.0036101083032490976,0,1,0.06008417681261097,14.140794223826715,2,34,7.081694360751314,6.819494584837545,0,22,5.37336922657277,0.47653429602888087,0,3,0.6513572032664233,0.3104693140794224,0,3,0.6350272132396869,0.1588447653429603,0,2,0.3759568966433932,0.22382671480144403,0,4,0.5839729733742476,0.007220216606498195,0,1,0.08481778352092319,0.02888086642599278,0,1,0.16777479156090336
5000 to 15000,11410.08,8753,13570,1242.104562157845,25,4.96,0,8,2.3180451534284945,0.04,0,1,0.19999999999999998,18.28,8,34,6.723838189605696,10.0,2,23,4.08248290463863,1.32,0,5,1.3453624047073711,1.36,0,4,0.9073771725877465,0.92,0,2,0.7023769168568492,2.6,0,6,1.414213562373095,0.2,0,1,0.4082482904638631,0.04,0,1,0.2,2.24,0,6,2.4027761721253467,0.0,0,0,0.0,18.0,9,25,5.461989869391313,12.88,6,21,3.597684440488539,1.0,0,3,0.8660254037844386,0.68,0,4,1.1445523142259597,0.4,0,1,0.5,0.16,0,1,0.3741657386773941,0.0,0,0,0.0,0.08,0,1,0.27688746209726917
15000 to 50000,20720.0,19015,22234,1411.5719370026222,4,7.5,6,8,1.0,0.0,0,0,0.0,19.5,15,22,3.1091263510296048,15.0,9,18,4.08248290463863,2.5,2,3,0.5773502691896257,2.25,0,4,1.707825127659933,0.5,0,1,0.5773502691896257,3.25,2,4,0.9574271077563382,0.5,0,1,0.5773502691896257,0.25,0,1,0.5,3.5,0,6,2.516611478423583,0.0,0,0,0.0,20.75,10,26,7.365459931328117,16.0,12,20,3.366501646120693,0.25,0,1,0.5,0.25,0,1,0.5,0.25,0,1,0.5,0.25,0,1,0.5,0.0,0,0,0.0,0.25,0,1,0.5
50000 to 500000,113126.9,89416,212028,35192.63254480024,10,5.8,0,8,3.1902629637347735,0.7,0,2,0.674948557710553,21.3,10,30,6.307843442008441,11.7,7,19,4.691600058733812,2.5,0,4,1.35400640077266,2.5,1,4,1.0801234497346435,0.9,0,3,1.1005049346146119,2.7,0,6,1.70293863659264,0.1,0,1,0.31622776601683794,0.5,0,2,0.7071067811865476,0.6,0,4,1.3498971154211057,0.0,0,0,0.0,18.0,8,28,7.195677714974302,16.9,13,21,2.514402955419481,0.7,0,2,0.9486832980505138,0.3,0,2,0.6749485577105528,0.9,0,2,0.5676462121975466,0.3,0,1,0.48304589153964794,0.0,0,0,0.0,0.0,0,0,0.0
500000 to inf,2147483647.0,2147483647,2147483647,0.0,55,4.1454545454545455,0,8,3.123496271204586,0.21818181818181817,0,2,0.45910174337984255,18.2,4,32,6.918574034197125,11.090909090909092,1,24,6.374929853710601,1.1090909090909091,0,6,1.1332144916894964,1.490909090909091,0,4,1.2747218617862586,0.6727272727272727,0,3,0.771111402206448,1.5454545454545454,0,5,1.3446489534747752,0.2727272727272727,0,2,0.48893480041539195,0.21818181818181817,0,1,0.4168181542799854,2.727272727272727,0,8,2.534608929251695,0.05454545454545454,0,1,0.22918388365077616,19.145454545454545,6,35,6.53882473814897,12.690909090909091,2,24,6.277156490218609,1.1454545454545455,0,3,0.9313109402020721,0.6363636363636364,0,5,1.0777829844714386,0.6545454545454545,0,2,0.6996872798345626,0.2727272727272727,0,3,0.5917502430657297,0.07272727272727272,0,1,0.2620817977022988,0.03636363636363636,0,1,0.18891859540615819
